Vertebra: L5,Width: 61.4502637030315,Width_superior: 61.589203948327565,Width_inferior: 61.31132345773544,Depth: 40.27284165490747,Depth_superior: 39.83540603316307,Depth_inferior: 40.71027727665186,Height_middle: 32.52858904978963,Height_anterior: 32.56095532239885,Height_posterior: 32.58306243909571,Height_left: 31.280401506820844,Height_right: 32.33407302173698
Vertebra: L4,Width: 58.17078923615435,Width_superior: 55.4260532732347,Width_inferior: 60.91552519907399,Depth: 42.27181497393825,Depth_superior: 40.295869467182136,Depth_inferior: 44.24776048069435,Height_middle: 27.397564614164136,Height_anterior: 31.083433146478175,Height_posterior: 29.642575552668145,Height_left: 29.030114252031034,Height_right: 31.422544419773896
Vertebra: L3,Width: 51.894978637804726,Width_superior: 49.61274323162096,Width_inferior: 54.1772140439885,Depth: 37.91097582115643,Depth_superior: 35.31289079885816,Depth_inferior: 40.5090608434547,Height_middle: 27.080919413204832,Height_anterior: 33.09072740813818,Height_posterior: 33.72675595192251,Height_left: 29.268009334713657,Height_right: 29.61973018790764
Vertebra: L2,Width: 51.09551931756505,Width_superior: 49.37935190435448,Width_inferior: 52.81168673077561,Depth: 37.862816722091495,Depth_superior: 36.999493743896316,Depth_inferior: 38.726139700286666,Height_middle: 25.076262167647883,Height_anterior: 31.21188341826038,Height_posterior: 31.796342282954207,Height_left: 28.065993326680264,Height_right: 28.7959713175195
Vertebra: L1,Width: 50.83547647312431,Width_superior: 49.02240120367681,Width_inferior: 52.64855174257181,Depth: 36.497283989188304,Depth_superior: 35.3286958212954,Depth_inferior: 37.6658721570812,Height_middle: 24.585464665598117,Height_anterior: 29.454171651869572,Height_posterior: 32.94031593265296,Height_left: 27.604834327210526,Height_right: 29.27044859754465
Mean Width: 54.689405473535984,Mean Width_superior: 53.00595071224291,Mean Width_inferior: 56.37286023482907,Mean Depth: 38.96314663225639,Mean Depth_superior: 37.55447117287902,Mean Depth_inferior: 40.37182209163375,Mean Height_middle: 27.33375998208092,Mean Height_anterior: 31.48023418942903,Mean Height_posterior: 32.13781043185871
SD Width: 4.322194921206325,SD Width_superior: 4.900283157687942,SD Width_inferior: 3.9089005269564407,SD Depth: 2.0523574322723492,SD Depth_superior: 2.144979574749372,SD Depth_inferior: 2.2444028321384515,SD Height_middle: 2.817930870544111,SD Height_anterior: 1.2724809770626264,SD Height_posterior: 1.3935429590457453,SD Height_left: 1.2711716851616013,SD Height_right: 1.3551198697234712
