Vertebra: L5,Width: 60.16577262588426,Width_superior: 60.301808611790946,Width_inferior: 60.02973663997758,Depth: 39.431020926406006,Depth_superior: 39.00272899451903,Depth_inferior: 39.85931285829299,Height_middle: 31.848645956484678,Height_anterior: 31.88033567889115,Height_posterior: 31.901980691889385,Height_left: 30.626549200844295,Height_right: 31.658195884985165
Vertebra: L4,Width: 56.954848811788565,Width_superior: 54.26748589563945,Width_inferior: 59.64221172793768,Depth: 41.38820982927612,Depth_superior: 39.453567389739106,Depth_inferior: 43.322852268813136,Height_middle: 26.824875008590915,Height_anterior: 30.43369805800558,Height_posterior: 29.022958621729142,Height_left: 28.423299561934602,Height_right: 30.765720909243203
Vertebra: L3,Width: 50.81022109581687,Width_superior: 48.57569111575396,Width_inferior: 53.04475107587977,Depth: 37.11852502869843,Depth_superior: 34.57474761759186,Depth_inferior: 39.662302439804996,Height_middle: 26.514848622763473,Height_anterior: 32.399033971353646,Height_posterior: 33.02176764966354,Height_left: 28.656221938357092,Height_right: 29.000590792221086
Vertebra: L2,Width: 50.027472824505345,Width_superior: 48.34717835302556,Width_inferior: 51.70776729598513,Depth: 37.07137259631487,Depth_superior: 36.22609560515641,Depth_inferior: 37.91664958747334,Height_middle: 24.552094604133273,Height_anterior: 30.559463341668618,Height_posterior: 31.131705298713552,Height_left: 27.479331596901318,Height_right: 28.194050902761088
Vertebra: L1,Width: 49.77286563962457,Width_superior: 47.997688970857716,Width_inferior: 51.54804230839143,Depth: 35.734383510017395,Depth_superior: 34.590222268618625,Depth_inferior: 36.87854475141617,Height_middle: 24.071556212038093,Height_anterior: 28.838492916064205,Height_posterior: 32.25176653767589,Height_left: 27.02781217559231,Height_right: 28.65861021342738
Mean Width: 53.546236199523925,Mean Width_superior: 51.897970589413525,Mean Width_inferior: 55.194501809634325,Mean Depth: 38.14870237814256,Mean Depth_superior: 36.769472375125005,Mean Depth_inferior: 39.52793238116012,Mean Height_middle: 26.76240408080209,Mean Height_anterior: 30.82220479319664,Mean Height_posterior: 31.4660357599343
SD Width: 4.231848346994522,SD Width_superior: 4.797852840676387,SD Width_inferior: 3.82719302001072,SD Depth: 2.0094571312807914,SD Depth_superior: 2.10014319881869,SD Depth_inferior: 2.1974882179825563,SD Height_middle: 2.759027835127959,SD Height_anterior: 1.2458823855777164,SD Height_posterior: 1.3644138164082786,SD Height_left: 1.244600461724656,SD Height_right: 1.3267938825554308
