Vertebra: L5,Width: 55.86483324051831,Width_superior: 55.991144718551524,Width_inferior: 55.73852176248509,Depth: 36.612301519907305,Depth_superior: 36.21462595938717,Depth_inferior: 37.00997708042745,Height_middle: 29.571951254721796,Height_anterior: 29.60137564304777,Height_posterior: 29.62147336620265,Height_left: 28.437215864849037,Height_right: 29.395115472172776
Vertebra: L4,Width: 52.883441735121195,Width_superior: 50.388184471478326,Width_inferior: 55.378698998764065,Depth: 38.42958112768205,Depth_superior: 36.63323625338275,Depth_inferior: 40.22592600198135,Height_middle: 24.907303665339636,Height_anterior: 28.25815065111166,Height_posterior: 26.948257668544024,Height_left: 26.39146512829206,Height_right: 28.56643890881869
Vertebra: L3,Width: 47.17806162120995,Width_superior: 45.10326661303534,Width_inferior: 49.25285662938457,Depth: 34.46511397362392,Depth_superior: 32.10317803113877,Depth_inferior: 36.827049916109075,Height_middle: 24.619439459687285,Height_anterior: 30.08299488179237,Height_posterior: 30.661212555624235,Height_left: 26.607737090720576,Height_right: 26.927488799286905
Vertebra: L2,Width: 46.4512679686456,Width_superior: 44.89108904386273,Width_inferior: 48.01144689342848,Depth: 34.42133222434976,Depth_superior: 33.636479706178996,Depth_inferior: 35.20618474252053,Height_middle: 22.796992557447023,Height_anterior: 28.374925626195378,Height_posterior: 28.906260970334078,Height_left: 25.514976542682337,Height_right: 26.178604268098773
Vertebra: L1,Width: 46.21486133237343,Width_superior: 44.56658284703317,Width_inferior: 47.8631398177137,Depth: 33.1799175613181,Depth_superior: 32.11754647953283,Depth_inferior: 34.24228864310337,Height_middle: 22.35080536548677,Height_anterior: 26.776978460519132,Height_posterior: 29.94625483400267,Height_left: 25.095733905624783,Height_right: 26.60995464037897
Mean Width: 49.7184931795737,Mean Width_superior: 48.18805353879222,Mean Width_inferior: 51.248932820355186,Mean Depth: 35.42164928137622,Mean Depth_superior: 34.1410132859241,Mean Depth_inferior: 36.702285276828356,Mean Height_middle: 24.849298460536506,Mean Height_anterior: 28.618885052533262,Mean Height_posterior: 29.216691878941532
SD Width: 3.929335432523046,SD Width_superior: 4.454879197240161,SD Width_inferior: 3.5536068184752607,SD Depth: 1.8658114513213533,SD Depth_superior: 1.9500148417065322,SD Depth_inferior: 2.040401169763831,SD Height_middle: 2.5617992288369877,SD Height_anterior: 1.1568207083516358,SD Height_posterior: 1.2668789412656076,SD Height_left: 1.1556304225935854,SD Height_right: 1.2319482615870354
