Vertebra: L5,Width: 48.557974162320114,Width_superior: 48.66776468940063,Width_inferior: 48.4481836352396,Depth: 31.823583605317097,Depth_superior: 31.477922149395717,Depth_inferior: 32.16924506123848,Height_middle: 25.70407824854447,Height_anterior: 25.72965406440563,Height_posterior: 25.7471230993077,Height_left: 24.717760943966034,Height_right: 25.55037175983054
Vertebra: L4,Width: 45.966534730942136,Width_superior: 43.797645454666046,Width_inferior: 48.13542400721823,Depth: 33.40317153427622,Depth_superior: 31.841780173501927,Depth_inferior: 34.96456289505051,Height_middle: 21.649544761505165,Height_anterior: 24.562116623242932,Height_posterior: 23.423551520415575,Height_left: 22.939584842005843,Height_right: 24.830082217767014
Vertebra: L3,Width: 41.0073916692462,Width_superior: 39.20397015064437,Width_inferior: 42.81081318784803,Depth: 29.957238154231725,Depth_superior: 27.90423239344365,Depth_inferior: 32.0102439150198,Height_middle: 21.39933184848808,Height_anterior: 26.148279757788618,Height_posterior: 26.650869262446097,Height_left: 23.12756944259392,Height_right: 23.40549912218454
Vertebra: L2,Width: 40.375659229437176,Width_superior: 39.019544415811346,Width_inferior: 41.731774043063,Depth: 29.919182853128753,Depth_superior: 29.236985375970146,Depth_inferior: 30.601380330287355,Height_middle: 19.815252483027837,Height_anterior: 24.66361797738658,Height_posterior: 25.125457141948896,Height_left: 22.177736866726537,Height_right: 22.754565187423957
Vertebra: L1,Width: 40.17017347623564,Width_superior: 38.73748211280004,Width_inferior: 41.60286483967124,Depth: 28.840139425706568,Depth_superior: 27.91672151594523,Depth_inferior: 29.763557335467905,Height_middle: 19.427424490317556,Height_anterior: 23.274674832249197,Height_posterior: 26.029424669133107,Height_left: 21.813329207075295,Height_right: 23.12949694712172
Mean Width: 43.21554665363625,Mean Width_superior: 41.88528136466449,Mean Width_inferior: 44.54581194260801,Mean Depth: 30.788663114532074,Mean Depth_superior: 29.675528321651335,Mean Depth_inferior: 31.90179790741281,Mean Height_middle: 21.599126366376623,Mean Height_anterior: 24.875668651014593,Mean Height_posterior: 25.395285138650273
SD Width: 3.4153967234821483,SD Width_superior: 3.872201820141657,SD Width_inferior: 3.0888116560135517,SD Depth: 1.621772034205444,SD Depth_superior: 1.6949620146910158,SD Depth_inferior: 1.7735262334999635,SD Height_middle: 2.226727863436902,SD Height_anterior: 1.0055139666260324,SD Height_posterior: 1.1011770970819785,SD Height_left: 1.004479364681796,SD Height_right: 1.0708151870409741
