Vertebra: L5,Width: 42.11446154581102,Width_superior: 42.20968316513497,Width_inferior: 42.01923992648707,Depth: 27.600679622998342,Depth_superior: 27.30088651291909,Depth_inferior: 27.9004727330776,Height_middle: 22.293216173932755,Height_anterior: 22.315398147793267,Height_posterior: 22.330549088731747,Height_left: 21.437780523821367,Height_right: 22.15990612301001
Vertebra: L4,Width: 39.8668991595335,Width_superior: 37.9858156588604,Width_inferior: 41.74798266020661,Depth: 28.97066048072525,Depth_superior: 27.61646155550904,Depth_inferior: 30.32485940594146,Height_middle: 18.77670837944941,Height_anterior: 21.302789785986917,Height_posterior: 20.315309211114986,Height_left: 19.89556360971886,Height_right: 21.535197066580242
Vertebra: L3,Width: 35.56582104878248,Width_superior: 34.00170871695089,Width_inferior: 37.12993338061407,Depth: 25.981993195344074,Depth_superior: 24.20141577922258,Depth_inferior: 27.762570611465566,Height_middle: 18.559698047257662,Height_anterior: 22.678473337197406,Height_posterior: 23.114370565868256,Height_left: 20.0586031592315,Height_right: 20.299652317592837
Vertebra: L2,Width: 35.01791780523605,Width_superior: 33.8417557812761,Width_inferior: 36.194079829196006,Depth: 25.948987730380527,Depth_superior: 25.357316024258584,Depth_inferior: 26.54065943650247,Height_middle: 17.185821754577482,Height_anterior: 21.390822183336144,Height_posterior: 21.79137653247952,Height_left: 19.23481081242545,Height_right: 19.735095565849058
Vertebra: L1,Width: 34.839699459007505,Width_superior: 33.597122387510886,Width_inferior: 36.082276530504124,Depth: 25.013130464619756,Depth_superior: 24.212247628746958,Depth_inferior: 25.81401330049255,Height_middle: 16.84945749377066,Height_anterior: 20.18618805919273,Height_posterior: 22.57538999924815,Height_left: 18.91875906944949,Height_right: 20.060274889090813
Mean Width: 37.48095980367411,Mean Width_superior: 36.32721714194665,Mean Width_inferior: 38.634702465401574,Mean Depth: 26.70309029881359,Mean Depth_superior: 25.73766550013125,Mean Depth_inferior: 27.66851509749593,Mean Height_middle: 18.732980369797595,Mean Height_anterior: 21.574734302701295,Mean Height_posterior: 22.02539907948853
SD Width: 2.9621827610426217,SD Width_superior: 3.3583710495591093,SD Width_inferior: 2.678934653957975,SD Depth: 1.4065672456248395,SD Depth_superior: 1.4700451124813652,SD Depth_inferior: 1.5381840706851342,SD Height_middle: 1.931247062824716,SD Height_anterior: 0.8720849667181494,SD Height_posterior: 0.9550538569661573,SD Height_left: 0.8711876536702542,SD Height_right: 0.9287208907553997
