Vertebra: L5,Width: 58.0126707793547,Width_superior: 58.14383855997344,Width_inferior: 57.88150299873596,Depth: 38.019936180680226,Depth_superior: 37.60697117154605,Depth_inferior: 38.4329011898144,Height_middle: 30.708905279592376,Height_anterior: 30.739460948585233,Height_posterior: 30.76033136972798,Height_left: 29.530542671563932,Height_right: 30.52527068444629
Vertebra: L4,Width: 54.916653592257404,Width_superior: 52.3254610700802,Width_inferior: 57.50784611443461,Depth: 39.907084812199024,Depth_superior: 38.04167579271369,Depth_inferior: 41.77249383168436,Height_middle: 25.864915792691562,Height_anterior: 29.344592930196985,Height_posterior: 27.984338438310893,Height_left: 27.406138872387718,Height_right: 29.664733959214274
Vertebra: L3,Width: 48.99191849469787,Width_superior: 46.83735375759985,Width_inferior: 51.146483231795884,Depth: 35.79019562658647,Depth_superior: 33.33745023587911,Depth_inferior: 38.242941017293816,Height_middle: 25.565984060097428,Height_anterior: 31.23959702198943,Height_posterior: 31.84004545448352,Height_left: 27.630725851841387,Height_right: 27.962771067484137
Vertebra: L2,Width: 48.23718177671266,Width_superior: 46.61701858870783,Width_inferior: 49.8573449647175,Depth: 35.744730598599176,Depth_superior: 34.9297028234162,Depth_inferior: 36.55975837378216,Height_middle: 23.673469466930488,Height_anterior: 29.465857557545533,Height_posterior: 30.017621173490536,Height_left: 26.495951894116075,Height_right: 27.185094141957066
Vertebra: L1,Width: 47.99168600478283,Width_superior: 46.28003608879624,Width_inferior: 49.70333592076942,Depth: 34.45558721501371,Depth_superior: 33.35237110859893,Depth_inferior: 35.55880332142848,Height_middle: 23.210127697669076,Height_anterior: 27.80647405153796,Height_posterior: 31.097599723964304,Height_left: 26.060590618166692,Height_right: 27.633028659722605
Mean Width: 51.630022129561084,Mean Width_superior: 50.04074161303151,Mean Width_inferior: 53.21930264609067,Mean Depth: 36.78350688661572,Mean Depth_superior: 35.45363422643079,Mean Depth_inferior: 38.113379546800644,Mean Height_middle: 25.804680459396184,Mean Height_anterior: 29.719196501971027,Mean Height_posterior: 30.339987231995444
SD Width: 4.080406753336221,SD Width_superior: 4.626156120767679,SD Width_inferior: 3.69023248582712,SD Depth: 1.9375463808482158,SD Depth_superior: 2.0249871424430776,SD Depth_inferior: 2.1188485573687728,SD Height_middle: 2.6602928290410492,SD Height_anterior: 1.2012970416542599,SD Height_posterior: 1.3155866879708789,SD Height_left: 1.2000609929307675,SD Height_right: 1.2793130270155624
