Vertebra: L5,Width: 51.13748493200103,Width_superior: 51.253107783265136,Width_inferior: 51.021862080736916,Depth: 33.51412523222574,Depth_superior: 33.150101448312,Depth_inferior: 33.87814901613948,Height_middle: 27.069537739197845,Height_anterior: 27.09647220095797,Height_posterior: 27.114869230992518,Height_left: 26.030825001050086,Height_right: 26.9076660098649
Vertebra: L4,Width: 48.40838230446356,Width_superior: 46.12427666377125,Width_inferior: 50.692487945155875,Depth: 35.17762448872064,Depth_superior: 33.533288443776854,Depth_inferior: 36.821960533664424,Height_middle: 22.799618149746436,Height_anterior: 25.866912497634623,Height_posterior: 24.667864209596374,Height_left: 24.15818811310112,Height_right: 26.14911303809506
Vertebra: L3,Width: 43.18579820848414,Width_superior: 41.28657480955762,Width_inferior: 45.08502160741065,Depth: 31.548635237446547,Depth_superior: 29.38656910992103,Depth_inferior: 33.71070136497207,Height_middle: 22.536113353882623,Height_anterior: 27.53733624969197,Height_posterior: 28.06662445960553,Height_left: 24.35615888609685,Height_right: 24.6488528266371
Vertebra: L2,Width: 42.52050669500788,Width_superior: 41.09235195741451,Width_inferior: 43.94866143260125,Depth: 31.508558351614553,Depth_superior: 30.790120982455992,Depth_inferior: 32.22699572077312,Height_middle: 20.867884065495716,Height_anterior: 25.97380583611594,Height_posterior: 26.460178954563265,Height_left: 23.35586902898761,Height_right: 23.963339790832215
Vertebra: L1,Width: 42.30410506809985,Width_superior: 40.79530585903508,Width_inferior: 43.81290427716462,Depth: 30.372193666664522,Depth_superior: 29.39972168320598,Depth_inferior: 31.344665650123066,Height_middle: 20.45945376181102,Height_anterior: 24.511078850874753,Height_posterior: 27.41216730658704,Height_left: 22.97210320007906,Height_right: 24.35818878407851
Mean Width: 45.51125544161129,Mean Width_superior: 44.110323414608715,Mean Width_inferior: 46.912187468613865,Mean Depth: 32.4242273953344,Mean Depth_superior: 31.251960333534367,Mean Depth_inferior: 33.596494457134426,Mean Height_middle: 22.746521414026727,Mean Height_anterior: 26.19712112705505,Mean Height_posterior: 26.744340832268943
SD Width: 3.596830417596004,SD Width_superior: 4.077902046927149,SD Width_inferior: 3.2528964035684704,SD Depth: 1.7079242779999664,SD Depth_superior: 1.7850022778304973,SD Depth_inferior: 1.8677400078294308,SD Height_middle: 2.34501674603491,SD Height_anterior: 1.0589291708375208,SD Height_posterior: 1.1596741458211526,SD Height_left: 1.0578396084690982,SD Height_right: 1.127699341599745
