Vertebra: L5,Width: 46.8418098543283,Width_superior: 46.947720100421364,Width_inferior: 46.73589960823523,Depth: 30.69885591067991,Depth_superior: 30.365411023994263,Depth_inferior: 31.03230079736556,Height_middle: 24.795629689456703,Height_anterior: 24.820301589883055,Height_posterior: 24.837153223941883,Height_left: 23.84417138762031,Height_right: 24.64735558531788
Vertebra: L4,Width: 44.34195859019114,Width_superior: 42.24972346656748,Width_inferior: 46.43419371381481,Depth: 32.22261711968667,Depth_superior: 30.716409365114938,Depth_inferior: 33.7288248742584,Height_middle: 20.884393895042606,Height_anterior: 23.694027939463965,Height_posterior: 22.595702670062654,Height_left: 22.128840624909806,Height_right: 23.95252293730387
Vertebra: L3,Width: 39.558084461508315,Width_superior: 37.818400520428625,Width_inferior: 41.297768402588005,Depth: 28.898471931521453,Depth_superior: 26.918024700440327,Depth_inferior: 30.87891916260258,Height_middle: 20.643024153062342,Height_anterior: 25.22413196929783,Height_posterior: 25.70895866188697,Height_left: 22.31018136385524,Height_right: 22.578288290242632
Vertebra: L2,Width: 38.948679078873795,Width_superior: 37.64049286772433,Width_inferior: 40.25686529002325,Depth: 28.861761603115745,Depth_superior: 28.203674747981616,Depth_inferior: 29.51984845824987,Height_middle: 19.114930246528807,Height_anterior: 23.79194197341564,Height_posterior: 24.23745854825034,Height_left: 21.393918326120204,Height_right: 21.9503600431156
Vertebra: L1,Width: 38.75045572328109,Width_superior: 37.36839937550897,Width_inferior: 40.132512071053206,Depth: 27.820854359273312,Depth_superior: 26.93007242507379,Depth_inferior: 28.711636293472832,Height_middle: 18.74080909744639,Height_anterior: 22.45208766883709,Height_posterior: 25.109477526663735,Height_left: 21.042389774995208,Height_right: 22.31204074539128
Mean Width: 41.688197541636534,Mean Width_superior: 40.40494726613015,Mean Width_inferior: 42.9714478171429,Mean Depth: 29.700512184855416,Mean Depth_superior: 28.626718452520983,Mean Depth_inferior: 30.774305917189842,Mean Height_middle: 20.835757416307366,Mean Height_anterior: 23.99649822817952,Mean Height_posterior: 24.497750126161115
SD Width: 3.2946877759696553,SD Width_superior: 3.7353481998721194,SD Width_inferior: 2.979645068864758,SD Depth: 1.5644544189462324,SD Depth_superior: 1.6350576763574016,SD Depth_inferior: 1.7108452326195465,SD Height_middle: 2.1480295456267937,SD Height_anterior: 0.9699765042322699,SD Height_posterior: 1.0622586524106032,SD Height_left: 0.9689784677947363,SD Height_right: 1.0329698107426901
