Vertebra: L5,Width: 43.40421693065149,Width_superior: 43.50235471206723,Width_inferior: 43.306079149235735,Depth: 28.44595043645267,Depth_superior: 28.136976162377238,Depth_inferior: 28.754924710528105,Height_middle: 22.97594591925945,Height_anterior: 22.998807216069437,Height_posterior: 23.014422154574152,Height_left: 22.094312552363395,Height_right: 22.83855324802719
Vertebra: L4,Width: 41.087822946294224,Width_superior: 39.14913126341301,Width_inferior: 43.02651462917544,Depth: 29.85788695794746,Depth_superior: 28.4622156906465,Depth_inferior: 31.253558225248423,Height_middle: 19.35174507357005,Height_anterior: 21.955187723182778,Height_posterior: 20.93746555570538,Height_left: 20.504865245266497,Height_right: 22.194712476744257
Vertebra: L3,Width: 36.65502431840143,Width_superior: 35.0430110464075,Width_inferior: 38.26703759039537,Depth: 26.777691736951486,Depth_superior: 24.942584137461274,Depth_inferior: 28.612799336441697,Height_middle: 19.12808879995492,Height_anterior: 23.373001583149076,Height_posterior: 23.822248164447966,Height_left: 20.67289788098296,Height_right: 20.921329169819114
Vertebra: L2,Width: 36.0903415380214,Width_superior: 34.87815955207767,Width_inferior: 37.30252352396513,Depth: 26.74367547962343,Depth_superior: 26.1338838275015,Depth_inferior: 27.35346713174536,Height_middle: 17.71213754581142,Height_anterior: 22.045916112700812,Height_posterior: 22.45873743878671,Height_left: 19.823876893555976,Height_right: 20.339482867553173
Vertebra: L1,Width: 35.9066652549396,Width_superior: 34.626034260628394,Width_inferior: 37.18729624925081,Depth: 25.77915758509874,Depth_superior: 24.953747712377343,Depth_inferior: 26.60456745782014,Height_middle: 17.3654721295174,Height_anterior: 20.804390068505498,Height_posterior: 23.266761317975114,Height_left: 19.498146065951396,Height_right: 20.674620807569227
Mean Width: 38.62881419766163,Mean Width_superior: 37.43973816691876,Mean Width_inferior: 39.817890228404494,Mean Depth: 27.52087243921476,Mean Depth_superior: 26.52588150607277,Mean Depth_inferior: 28.515863372356744,Mean Height_middle: 19.30667789362265,Mean Height_anterior: 22.23546054072152,Mean Height_posterior: 22.699926926297866
SD Width: 3.0528996080995605,SD Width_superior: 3.4612211629518637,SD Width_inferior: 2.7609770277354415,SD Depth: 1.4496433675220997,SD Depth_superior: 1.5150652440511034,SD Depth_inferior: 1.585290957849867,SD Height_middle: 1.9903915041237215,SD Height_anterior: 0.898792568823895,SD Height_posterior: 0.9843023813357439,SD Height_left: 0.8978677755639021,SD Height_right: 0.9571629680347841
