Vertebra: L5,Width: 59.30242616419514,Width_superior: 59.43651010690567,Width_inferior: 59.1683422214846,Depth: 38.86520699413455,Depth_superior: 38.4430608210042,Depth_inferior: 39.28735316726491,Height_middle: 31.391635024919065,Height_anterior: 31.4228700168614,Height_posterior: 31.444204435570395,Height_left: 30.187074700105963,Height_right: 31.203917809463473
Vertebra: L4,Width: 56.137577379018126,Width_superior: 53.48877667463282,Width_inferior: 58.78637808340344,Depth: 40.794311289421245,Depth_superior: 38.88742992785117,Depth_inferior: 42.701192650991324,Height_middle: 26.4399524868122,Height_anterior: 29.996990867392842,Height_posterior: 28.606494782901287,Height_left: 28.015440507935352,Height_right: 30.32424936937831
Vertebra: L3,Width: 50.08112176431682,Width_superior: 47.878656087056456,Width_inferior: 52.28358744157719,Depth: 36.58589416819388,Depth_superior: 34.07861859411782,Depth_inferior: 39.09316974226994,Height_middle: 26.134374812794693,Height_anterior: 31.93412526794111,Height_posterior: 32.54792305306323,Height_left: 28.245020573592864,Height_right: 28.584447919710428
Vertebra: L2,Width: 49.30960550949803,Width_superior: 47.65342235950941,Width_inferior: 50.965788659486634,Depth: 36.53941834784209,Depth_superior: 35.706270626659126,Depth_inferior: 37.37256606902504,Height_middle: 24.19978525816442,Height_anterior: 30.120951486910243,Height_posterior: 30.68498207979773,Height_left: 27.085017975246583,Height_right: 27.789481443661202
Vertebra: L1,Width: 49.05865180071493,Width_superior: 47.308947961913745,Width_inferior: 50.8083556395161,Depth: 35.22161433549269,Depth_superior: 34.0938711922293,Depth_inferior: 36.34935747875607,Height_middle: 23.726142333415805,Height_anterior: 28.42467606085074,Height_posterior: 31.788971042691294,Height_left: 26.6399776146686,Height_right: 28.247374578201015
Mean Width: 52.77787652354861,Mean Width_superior: 51.153262638003625,Mean Width_inferior: 54.402490409093595,Mean Depth: 37.60128902701689,Mean Depth_superior: 36.24185023237232,Mean Depth_inferior: 38.96072782166145,Mean Height_middle: 26.378377983221235,Mean Height_anterior: 30.379922739991265,Mean Height_posterior: 31.014515078804788
SD Width: 4.1711236003931464,SD Width_superior: 4.7290062341604235,SD Width_inferior: 3.772274859604577,SD Depth: 1.9806225027454791,SD Depth_superior: 2.070007274012822,SD Depth_inferior: 2.165955444533508,SD Height_middle: 2.7194372703400553,SD Height_anterior: 1.228004643760003,SD Height_posterior: 1.3448352123404685,SD Height_left: 1.22674111482442,SD Height_right: 1.307755104294946
