Vertebra: L5,Width: 50.27940277800512,Width_superior: 50.39308548877551,Width_inferior: 50.16572006723474,Depth: 32.951761384907144,Depth_superior: 32.59384588561127,Depth_inferior: 33.30967688420302,Height_middle: 26.615313459653965,Height_anterior: 26.64179596369668,Height_posterior: 26.65988429330961,Height_left: 25.594030222877226,Height_right: 26.456157922608572
Vertebra: L4,Width: 47.596094234088056,Width_superior: 45.35031566972195,Width_inferior: 49.84187279845416,Depth: 34.587347281425856,Depth_superior: 32.97060303958335,Depth_inferior: 36.20409152326836,Height_middle: 22.417042716515155,Height_anterior: 25.432868155745147,Height_posterior: 24.25393978441991,Height_left: 23.752816004553097,Height_right: 25.710333397863486
Vertebra: L3,Width: 42.461144604615185,Width_superior: 40.59378999444975,Width_inferior: 44.32849921478063,Depth: 31.01925212609141,Depth_superior: 28.893465263419365,Depth_inferior: 33.14503898876345,Height_middle: 22.157959506169743,Height_anterior: 27.075262355446554,Height_posterior: 27.595669159325958,Height_left: 23.947464846727517,Height_right: 24.235247410666148
Vertebra: L2,Width: 41.80701661972618,Width_superior: 40.40282618337099,Width_inferior: 43.21120705608136,Depth: 30.979847726608046,Depth_superior: 30.273465668461714,Depth_inferior: 31.686229784754378,Height_middle: 20.51772294724618,Height_anterior: 25.537967834130452,Height_posterior: 26.016179657713987,Height_left: 22.963959758684425,Height_right: 23.561237218678038
Vertebra: L1,Width: 41.59424619162256,Width_superior: 40.110764490389535,Width_inferior: 43.077727892855584,Depth: 29.8625511334479,Depth_superior: 28.90639713777026,Depth_inferior: 30.81870512912554,Height_middle: 20.116146065375453,Height_anterior: 24.09978526916869,Height_posterior: 26.95219373535237,Height_left: 22.586633484039023,Height_right: 23.94946068321329
Mean Width: 44.74758088561142,Mean Width_superior: 43.37015636534154,Mean Width_inferior: 46.1250054058813,Mean Depth: 31.880151930496073,Mean Depth_superior: 30.72755539896919,Mean Depth_inferior: 33.03274846202295,Mean Height_middle: 22.364836938992102,Mean Height_anterior: 25.757535915637504,Mean Height_posterior: 26.295573326024368
SD Width: 3.536475943839764,SD Width_superior: 4.009475236792385,SD Width_inferior: 3.1983131099940816,SD Depth: 1.6792654703703571,SD Depth_superior: 1.7550501086636896,SD Depth_inferior: 1.8363995073892168,SD Height_middle: 2.3056675871298573,SD Height_anterior: 1.041160439640637,SD Height_posterior: 1.1402149234854657,SD Height_left: 1.0400891600255706,SD Height_right: 1.1087766534506036
