Vertebra: L5,Width: 53.71699570168195,Width_superior: 53.838450877129645,Width_inferior: 53.59554052623425,Depth: 35.2046668591344,Depth_superior: 34.82228074722831,Depth_inferior: 35.587052971040485,Height_middle: 28.434997229851227,Height_anterior: 28.46329033751031,Height_posterior: 28.482615362677347,Height_left: 27.34388905813415,Height_right: 28.264960259899265
Vertebra: L4,Width: 50.850229877984994,Width_superior: 48.450907872876456,Width_inferior: 53.24955188309353,Depth: 36.95207744316506,Depth_superior: 35.224796714051784,Depth_inferior: 38.679358172278334,Height_middle: 23.949691537987718,Height_anterior: 27.171708372026316,Height_posterior: 25.912176898777158,Height_left: 25.376791384196395,Height_right: 27.468143858423087
Vertebra: L3,Width: 45.36420474772205,Width_superior: 43.369179468470854,Width_inferior: 47.35923002697324,Depth: 33.14003232066137,Depth_superior: 30.868905826398414,Depth_inferior: 35.41115881492433,Height_middle: 23.672894859277154,Height_anterior: 28.9263927415953,Height_posterior: 29.48237965676495,Height_left: 25.584748329599776,Height_right: 25.892206531089673
Vertebra: L2,Width: 44.66535416057858,Width_superior: 43.16515949901766,Width_inferior: 46.1655488221395,Depth: 33.09793385010036,Depth_superior: 32.34325658894183,Depth_inferior: 33.852611111258895,Height_middle: 21.920515647963576,Height_anterior: 27.283993694845257,Height_posterior: 27.794900767177623,Height_left: 24.534001191248652,Height_right: 25.17211439424045
Vertebra: L1,Width: 44.438036659964055,Width_superior: 42.85312960527012,Width_inferior: 46.02294371465799,Depth: 31.904247907622484,Depth_superior: 30.88272185046673,Depth_inferior: 32.92577396477824,Height_middle: 21.49148303330445,Height_anterior: 25.74748286950031,Height_posterior: 28.794909944041002,Height_left: 24.13087719308282,Height_right: 25.586880621035334
Mean Width: 47.80696422958632,Mean Width_superior: 46.33536546455294,Mean Width_inferior: 49.278562994619705,Mean Depth: 34.05979167613673,Mean Depth_superior: 32.82839234541741,Mean Depth_inferior: 35.29119100685605,Mean Height_middle: 23.893916461676824,Mean Height_anterior: 27.5185736030955,Mean Height_posterior: 28.09339652588762
SD Width: 3.77826411170987,SD Width_superior: 4.283602273712645,SD Width_inferior: 3.416981151123402,SD Depth: 1.794076521794489,SD Depth_superior: 1.875042540969985,SD Depth_inferior: 1.961953782158893,SD Height_middle: 2.4633056286329302,SD Height_anterior: 1.112344375049006,SD Height_posterior: 1.218171194560333,SD Height_left: 1.11119985225641,SD Height_right: 1.1845834961585133
