Vertebra: L5,Width: 54.14866893252652,Width_superior: 54.27110012957228,Width_inferior: 54.02623773548075,Depth: 35.487573825270125,Depth_superior: 35.102114833985716,Depth_inferior: 35.873032816554534,Height_middle: 28.663502695634037,Height_anterior: 28.692023168525182,Height_posterior: 28.71150349083683,Height_left: 27.56362630850331,Height_right: 28.492099297660115
Vertebra: L4,Width: 51.25886559437021,Width_superior: 48.84026248337976,Width_inferior: 53.677468705360646,Depth: 37.24902671309249,Depth_superior: 35.507865444995744,Depth_inferior: 38.99018798118924,Height_middle: 24.142152798877067,Height_anterior: 27.390061967332684,Height_posterior: 26.120408818191088,Height_left: 25.58072091119601,Height_right: 27.68887962835555
Vertebra: L3,Width: 45.728754413472075,Width_superior: 43.7176969828196,Width_inferior: 47.739811844124546,Depth: 33.406347750913646,Depth_superior: 31.116970338135438,Depth_inferior: 35.695725163691854,Height_middle: 23.86313176426153,Height_anterior: 29.158847093301578,Height_posterior: 29.719301955065113,Height_left: 25.7903490119819,Height_right: 26.100277967344983
Vertebra: L2,Width: 45.02428781808224,Width_superior: 43.512037495775736,Width_inferior: 46.53653814038876,Depth: 33.36391097433676,Depth_superior: 32.603169078190476,Depth_inferior: 34.124652870483054,Height_middle: 22.096670320948004,Height_anterior: 27.503249622224445,Height_posterior: 28.018262376635533,Height_left: 24.731158002076025,Height_right: 25.374399123790422
Vertebra: L1,Width: 44.79514357941888,Width_superior: 43.1975001097421,Width_inferior: 46.39278704909566,Depth: 32.160632494884844,Depth_superior: 31.130897388661392,Depth_inferior: 33.1903676011083,Height_middle: 21.664189972615624,Height_anterior: 25.954391297107037,Height_posterior: 29.026307691533297,Height_left: 24.324794473544703,Height_right: 25.792498438648526
Mean Width: 48.19114406757399,Mean Width_superior: 46.70771944025789,Mean Width_inferior: 49.67456869489007,Mean Depth: 34.333498351699575,Mean Depth_superior: 33.09220341679375,Mean Depth_inferior: 35.5747932866054,Mean Height_middle: 24.085929510467253,Mean Height_anterior: 27.739714629698188,Mean Height_posterior: 28.319156866452374
SD Width: 3.8086264850105587,SD Width_superior: 4.318025576970628,SD Width_inferior: 3.4444402313264706,SD Depth: 1.80849383606214,SD Depth_superior: 1.890110503372914,SD Depth_inferior: 1.9777201688834123,SD Height_middle: 2.4831009110268774,SD Height_anterior: 1.1212832459578665,SD Height_posterior: 1.227960496594238,SD Height_left: 1.1201295257065196,SD Height_right: 1.1941028852887536
