Vertebra: L5,Width: 44.26229908464738,Width_superior: 44.362377006556855,Width_inferior: 44.16222116273791,Depth: 29.008314283771263,Depth_superior: 28.69323172507797,Depth_inferior: 29.323396842464557,Height_middle: 23.430170198803324,Height_anterior: 23.453483453330723,Height_posterior: 23.469407092257057,Height_left: 22.53110733053625,Height_right: 23.290061335283514
Vertebra: L4,Width: 41.90011101666972,Width_superior: 39.92309225746229,Width_inferior: 43.87712977587715,Depth: 30.448164165242243,Depth_superior: 29.024901094840004,Depth_inferior: 31.871427235644482,Height_middle: 19.73432050680133,Height_anterior: 22.389232065072257,Height_posterior: 21.351389980881848,Height_left: 20.910237353814516,Height_right: 22.633492116975837
Vertebra: L3,Width: 37.37967792227039,Width_superior: 35.735795861515385,Width_inferior: 39.02355998302539,Depth: 27.30707484830662,Depth_superior: 25.435687983962936,Depth_inferior: 29.178461712650307,Height_middle: 19.5062426476678,Height_anterior: 23.83507547739448,Height_posterior: 24.293203464727544,Height_left: 21.081591920352302,Height_right: 21.33493458579007
Vertebra: L2,Width: 36.80383161330309,Width_superior: 35.56768532612117,Width_inferior: 38.039977900485,Depth: 27.27238610462993,Depth_superior: 26.650539141495763,Depth_inferior: 27.8942330677641,Height_middle: 18.06229866406094,Height_anterior: 22.481754114686282,Height_posterior: 22.902736735635976,Height_left: 20.21578616385915,Height_right: 20.741585439707357
Vertebra: L1,Width: 36.61652413141688,Width_superior: 35.310575629273934,Width_inferior: 37.92247263355982,Depth: 26.288800118315343,Depth_superior: 25.44707225781303,Depth_inferior: 27.13052797881766,Height_middle: 17.708779825952952,Height_anterior: 21.215683650211535,Height_posterior: 23.726734889209794,Height_left: 19.883615781991416,Height_right: 21.083348908434452
Mean Width: 39.392488753661496,Mean Width_superior: 38.17990521618593,Mean Width_inferior: 40.60507229113706,Mean Depth: 28.06494790405308,Mean Depth_superior: 27.05028644063794,Mean Depth_inferior: 29.07960936746822,Mean Height_middle: 19.688362368657266,Mean Height_anterior: 22.675045752139056,Mean Height_posterior: 23.148694432542445
SD Width: 3.1132540818557985,SD Width_superior: 3.5296479730866266,SD Width_inferior: 2.8155603213098352,SD Depth: 1.478302175151714,SD Depth_superior: 1.5450174132179209,SD Depth_inferior: 1.6166314582900803,SD Height_middle: 2.0297406630287775,SD Height_anterior: 0.9165613000207837,SD Height_posterior: 1.0037616036714319,SD Height_left: 0.9156182240074344,SD Height_right: 0.9760856561839231
