Vertebra: L5,Width: 42.546134776655585,Width_superior: 42.642332417577606,Width_inferior: 42.44993713573356,Depth: 27.883586589134076,Depth_superior: 27.580720599676507,Depth_inferior: 28.18645257859165,Height_middle: 22.52172163971557,Height_anterior: 22.54413097880815,Height_posterior: 22.559437216891247,Height_left: 21.657517774190534,Height_right: 22.38704516077086
Vertebra: L4,Width: 40.27553487591872,Width_superior: 38.37517026936373,Width_inferior: 42.175899482473724,Depth: 29.26760975065269,Depth_superior: 27.899530286453007,Depth_inferior: 30.635689214852366,Height_middle: 18.96916964033877,Height_anterior: 21.521143381293303,Height_posterior: 20.52354113052892,Height_left: 20.099493136718475,Height_right: 21.755932836512688
Vertebra: L3,Width: 35.930370714532486,Width_superior: 34.35022623129962,Width_inferior: 37.51051519776536,Depth: 26.24830862559635,Depth_superior: 24.449480290959613,Depth_inferior: 28.04713696023309,Height_middle: 18.749934952242054,Height_anterior: 22.910927688903683,Height_posterior: 23.35129286416841,Height_left: 20.26420384161362,Height_right: 20.50772375384817
Vertebra: L2,Width: 35.37685146273971,Width_superior: 34.188633778034166,Width_inferior: 36.56506914744526,Depth: 26.21496485461693,Depth_superior: 25.61722851350723,Depth_inferior: 26.81270119572663,Height_middle: 17.361976427561903,Height_anterior: 21.61007811071533,Height_posterior: 22.014738141937446,Height_left: 19.43196762325281,Height_right: 19.937380295398995
Vertebra: L1,Width: 35.19680637846231,Width_superior: 33.94149289198285,Width_inferior: 36.45211986494177,Depth: 25.269515051882106,Depth_superior: 24.460423166941606,Depth_inferior: 26.078606936822606,Height_middle: 17.022164433081812,Height_anterior: 20.393096486799422,Height_posterior: 22.80678774674045,Height_left: 19.112676349911364,Height_right: 20.265892706703998
Mean Width: 37.86513964166177,Mean Width_superior: 36.69957111765159,Mean Width_inferior: 39.03070816567193,Mean Depth: 26.97679697437643,Mean Depth_superior: 26.001476571507588,Mean Depth_inferior: 27.95211737724527,Mean Height_middle: 18.924993418588024,Mean Height_anterior: 21.79587532930398,Mean Height_posterior: 22.251159420053295
SD Width: 2.9925451343433176,SD Width_superior: 3.3927943528170994,SD Width_inferior: 2.7063937341610504,SD Depth: 1.420984559892496,SD Depth_superior: 1.4851130748842998,SD Depth_inferior: 1.5539504574096563,SD Height_middle: 1.9510423452186698,SD Height_anterior: 0.8810238376270211,SD Height_posterior: 0.9648431590000603,SD Height_left: 0.88011732712037,SD Height_right: 0.9382402798856437
