Vertebra: L5,Width: 57.58626185620335,Width_superior: 57.71646551792644,Width_inferior: 57.456058194480256,Depth: 37.740479299497366,Depth_superior: 37.33054969560275,Depth_inferior: 38.15040890339199,Height_middle: 30.483186465831306,Height_anterior: 30.51351754233882,Height_posterior: 30.534234560204574,Height_left: 29.31348514376024,Height_right: 30.30090163495081
Vertebra: L4,Width: 54.51300123826715,Width_superior: 51.940854686534266,Width_inferior: 57.085147790000036,Depth: 39.6137568748317,Depth_superior: 37.76205911946418,Depth_inferior: 41.46545463019922,Height_middle: 25.674801620349644,Height_anterior: 29.12890218361389,Height_posterior: 27.778645932548365,Height_left: 27.204696290839316,Height_right: 29.44669008891517
Vertebra: L3,Width: 48.631814556578945,Width_superior: 46.49308645684072,Width_inferior: 50.77054265631717,Depth: 35.52712794548361,Depth_superior: 33.09241090111449,Depth_inferior: 37.961844989852736,Height_middle: 25.378067117368957,Height_anterior: 31.009977479450313,Height_posterior: 31.606012452504103,Height_left: 27.427632494854173,Height_right: 27.75723708776851
Vertebra: L2,Width: 47.882625358934646,Width_superior: 46.2743708114224,Width_inferior: 49.490879906446885,Depth: 35.48199709782907,Depth_superior: 34.672959998670585,Depth_inferior: 36.29103419698756,Height_middle: 23.499463021665395,Height_anterior: 29.249275482939275,Height_posterior: 29.79698348609919,Height_left: 26.30119943464024,Height_right: 26.98527629935285
Vertebra: L1,Width: 47.638934047760365,Width_superior: 45.93986522462267,Width_inferior: 49.33800287089806,Depth: 34.20232926905943,Depth_superior: 33.107222101357856,Depth_inferior: 35.297436436761004,Height_middle: 23.03952694054464,Height_anterior: 27.602088897438627,Height_posterior: 30.869023900221922,Height_left: 25.86903818258851,Height_right: 27.42991837647055
Mean Width: 51.25052741154889,Mean Width_superior: 49.6729285394693,Mean Width_inferior: 52.82812628362848,Mean Depth: 36.51313809734023,Mean Depth_superior: 35.19304036324197,Mean Depth_inferior: 37.8332358314385,Mean Height_middle: 25.61500903315199,Mean Height_anterior: 29.500752317156184,Mean Height_posterior: 30.11698006631563
SD Width: 4.050414652880666,SD Width_superior: 4.592152613890897,SD Width_inferior: 3.6631082724557955,SD Depth: 1.9233048874862702,SD Depth_superior: 2.0101029356792104,SD Depth_inferior: 2.103274443653091,SD Height_middle: 2.6407389525299494,SD Height_anterior: 1.1924671813662402,SD Height_posterior: 1.3059167676690926,SD Height_left: 1.1912402179373616,SD Height_right: 1.2699097279966665
