Vertebra: L5,Width: 63.17169231871651,Width_superior: 63.314524747702436,Width_inferior: 63.02885988973059,Depth: 41.40101943449751,Depth_superior: 40.951329769378624,Depth_inferior: 41.8507090996164,Height_middle: 33.43982426089914,Height_anterior: 33.4730972216899,Height_posterior: 33.49582363309761,Height_left: 32.15667078573205,Height_right: 33.239859184515005
Vertebra: L4,Width: 59.80034873930026,Width_superior: 56.97872348829061,Width_inferior: 62.62197399030992,Depth: 43.45599072108787,Depth_superior: 41.42469233326356,Depth_inferior: 45.487289108912194,Height_middle: 28.16506256917411,Height_anterior: 31.95418467898038,Height_posterior: 30.472963816672465,Height_left: 29.84334541457828,Height_right: 32.30279559987036
Vertebra: L3,Width: 53.34873157317371,Width_superior: 51.00256307542632,Width_inferior: 55.6949000709211,Depth: 38.97298979301611,Depth_superior: 36.30212366883388,Depth_inferior: 41.643855917198344,Height_middle: 27.839547070886493,Height_anterior: 34.01771000579612,Height_posterior: 34.67155584880238,Height_left: 30.087904738847243,Height_right: 30.449478476389267
Vertebra: L2,Width: 52.526876707854065,Width_superior: 50.76263367191414,Width_inferior: 54.29111974379399,Depth: 38.92348159557079,Depth_superior: 38.03597403638787,Depth_inferior: 39.810989154753706,Height_middle: 25.778732631866205,Height_anterior: 32.08623327500423,Height_posterior: 32.687064798719284,Height_left: 28.852216218638176,Height_right: 29.602643348773565
Vertebra: L1,Width: 52.25954918851124,Width_superior: 50.395683581266304,Width_inferior: 54.12341479575617,Depth: 37.519695696929645,Depth_superior: 36.31837144312045,Depth_inferior: 38.721019950738835,Height_middle: 25.274186240656004,Height_anterior: 30.27928208878907,Height_posterior: 33.8630849988722,Height_left: 28.378138604174286,Height_right: 30.090412333636223
Mean Width: 56.22143970551116,Mean Width_superior: 54.49082571291996,Mean Width_inferior: 57.95205369810235,Mean Depth: 40.054635448220395,Mean Depth_superior: 38.60649825019688,Mean Depth_inferior: 41.5027726462439,Mean Height_middle: 28.09947055469639,Mean Height_anterior: 32.36210145405194,Mean Height_posterior: 33.03809861923279
SD Width: 4.443274141563936,SD Width_superior: 5.037556574338665,SD Width_inferior: 4.018401980936968,SD Depth: 2.1098508684372557,SD Depth_superior: 2.205067668722041,SD Depth_inferior: 2.3072761060277003,SD Height_middle: 2.8968705942370763,SD Height_anterior: 1.3081274500772324,SD Height_posterior: 1.432580785449236,SD Height_left: 1.3067814805053681,SD Height_right: 1.3930813361330985
