Vertebra: L5,Width: 56.29650647136287,Width_superior: 56.423793970994154,Width_inferior: 56.16921897173158,Depth: 36.895208486043025,Depth_superior: 36.49446004614458,Depth_inferior: 37.29595692594147,Height_middle: 29.8004567205046,Height_anterior: 29.830108474062637,Height_posterior: 29.850361494362147,Height_left: 28.656953115218197,Height_right: 29.622254509933622
Vertebra: L4,Width: 53.292077451506415,Width_superior: 50.777539081981644,Width_inferior: 55.80661582103119,Depth: 38.72653039760948,Depth_superior: 36.91630498432671,Depth_inferior: 40.536755810892245,Height_middle: 25.099764926228996,Height_anterior: 28.476504246418017,Height_posterior: 27.15648958795795,Height_left: 26.595394655291685,Height_right: 28.787174678751125
Vertebra: L3,Width: 47.54261128695998,Width_superior: 45.451784127384094,Width_inferior: 49.63343844653586,Depth: 34.73142940387619,Depth_superior: 32.351242542875795,Depth_inferior: 37.111616264876595,Height_middle: 24.809676364671695,Height_anterior: 30.31544923349864,Height_posterior: 30.898134853924383,Height_left: 26.813337773102706,Height_right: 27.13556023554222
Vertebra: L2,Width: 46.81020162614928,Width_superior: 45.237967040620816,Width_inferior: 48.38243621167775,Depth: 34.68730934858617,Depth_superior: 33.89639219542766,Depth_inferior: 35.47822650174467,Height_middle: 22.973147230431447,Height_anterior: 28.59418155357459,Height_posterior: 29.12962257979199,Height_left: 25.7121333535097,Height_right: 26.38088899764871
Vertebra: L1,Width: 46.57196825182826,Width_superior: 44.91095335150516,Width_inferior: 48.23298315215136,Depth: 33.43630214858045,Depth_superior: 32.36572201772749,Depth_inferior: 34.506882279433405,Height_middle: 22.523512304797936,Height_anterior: 26.983886888125873,Height_posterior: 30.177652581494957,Height_left: 25.28965118608663,Height_right: 26.815572457992165
Mean Width: 50.10267301756136,Mean Width_superior: 48.56040751449717,Mean Width_inferior: 51.644938520625544,Mean Depth: 35.69535595693907,Mean Depth_superior: 34.40482435730045,Mean Depth_inferior: 36.98588755657768,Mean Height_middle: 25.04131150932694,Mean Height_anterior: 28.840026079135953,Mean Height_posterior: 29.442452219506286
SD Width: 3.9596978058237284,SD Width_superior: 4.489302500498138,SD Width_inferior: 3.5810658986783284,SD Depth: 1.880228765589005,SD Depth_superior: 1.9650828041094601,SD Depth_inferior: 2.0561675564883557,SD Height_middle: 2.581594511230934,SD Height_anterior: 1.1657595792604882,SD Height_posterior: 1.2766682432995105,SD Height_left: 1.1645600960437048,SD Height_right: 1.2414676507172768
